Тикер,Название,"Количество, шт.",Средняя цена,Текущая цена,Стоимость покупок,Стоимость продаж,Текущая стоимость,Дивиденды,"Прибыль по дивидендам, %",Курсовая прибыль,"Курсовая прибыль, %",Прибыль по сделкам,"Прибыль по сделкам, %",Прибыль,"Прибыль, %","Доходность, % год.",P/L за день,"P/L за день, %",Комиссия,Текущая доля
INTC,Intel,70,52.58,57.09,6001.13,2339.1,3996.3,46.82,1.9,317.05,8.62,21.21,0.86,381.09,15.43,17.6,0,0,3.99,15.82
BTI,British American Tobacco p.l.c.,90,35.49,39.93,4889,1759.76,3593.7,99.93,5.34,400.86,12.55,66.79,3.57,564.39,30.14,35.26,0,0,3.19,14.23
OKE,"ONEOK, Inc.",55,41.14,55.17,2548.22,546.86,3034.35,84.98,6.17,772.69,34.16,261.52,18.98,1117.97,81.14,133.4,0,0,1.22,12.01
VLO,Valero,35,57.74,82.69,6296.75,5207.66,2894.15,26.46,2.47,874.04,43.27,935.94,87.34,1831.52,170.9,254.61,0,0,4.92,11.46
PPL,PPL Corporation,55,28.79,29.08,1583.37,0,1599.4,0,0,16.7,01.06,0,0,16.03,1.56,9.97,0,0,0.67,6.33
KMI,"Kinder Morgan, Inc.",85,15.1,18.77,1283.72,0,1595.45,33.62,3.91,312.35,24.34,0,0,345.35,40.2,87.86,0,0,0.62,6.32
IBM,IBM,10,120.79,148.02,1796.42,614.2,1480.2,0,0,272.93,22.61,26.26,2.87,297.98,32.57,58.85,0,0,1.21,5.86
WMB,"The Williams Companies, Inc.",40,23.03,28.23,921.33,0,1129.2,11.07,1.54,208.3,22.62,0,0,218.94,30.45,93.4,0,0,0.43,4.47
TOT,Total S.A.,20,45.67,48.19,1142.35,239.95,963.8,0,0,50.8,5.56,11.1,1.34,61.4,7.4,54.06,0,0,0.5,3.81
XOM,Exxon,15,58.01,61.05,1151.03,309.7,915.75,0,0,46.05,5.29,29.1,3.6,74.42,9.21,67.25,0,0,0.73,3.62
VALE,Vale,40,17.77,22.28,1214.71,547.6,891.2,0,0,180.85,25.46,44.05,11.78,224.09,59.93,130.98,0,0,0.81,3.53
PFE,Pfizer,20,35,38.99,874.36,181.55,779.8,0,0,80.1,11.45,7.45,1.11,86.99,12.96,39.76,0,0,0.56,03.09
TSM,Taiwan Semiconductor,5,117.27,118.22,704.01,116.11,591.1,0,0,05.05,0.86,-1.43,-0.24,3.2,0.55,3.69,0,0,0.42,2.34
BGS,B&G Foods Inc.,15,33.81,32.42,959.4,523.37,486.3,0,0,-20.7,-4.08,71.35,19.09,50.27,13.45,701.35,0,0,0.38,1.93
HBAN,Huntington Bancshares Incorporated,30,12.85,15.58,761.64,448.04,467.4,10.8,3.11,82.05,21.29,72.32,20.82,164.6,47.38,70.29,0,0,0.57,1.85
ETRN,Equitrans Midstream,45,08.01,9.16,360.53,0,412.2,06.08,1.69,51.85,14.39,0,0,57.75,16.02,116.93,0,0,0.18,1.63
NEE,"NextEra Energy, Inc.",5,79.12,72.47,395.61,0,362.35,0,0,-33.06,-8.36,0,0,-33.26,-8.66,-56.42,0,0,0.2,1.43
SCCO,Southern Copper Corporation,1,74.61,68.24,74.61,0,68.24,0,0,-6.35,-8.51,0,0,-6.37,-8.54,-155.81,0,0,0.02,0.27